Time	totMass	NInd	abovemass	belowmass	mean_ares	mean_bres	shannon	meanShannon	NPFT	meanNPFT	Cutted	NNonClonal	NClonal	mean_generation	mean_genet_size	NGenets
1	400	0	200	200	100	90	0	0.798896	40	39.7	0	380	1736	1	0.805508	1755
2	12270.6	0	5977.31	6293.24	100	90	0	0.798896	40	39.7	0	380	1736	1	0.801339	1755
3	60764.5	0	31968	28796.5	100	90	0	0.798896	40	39.7	0	380	1736	1	0.806482	1755
4	190189	0	99022.9	91166.1	100	90	0	0.798896	40	39.7	0	380	1736	1	0.807429	1755
5	433858	0	224832	209025	100	90	0	0.798896	40	39.7	0	380	1736	1	0.805051	1755
6	749360	566	389002	360358	100	90	2.37169	0.798896	40	39.7	0	380	1736	1.00997	0.810867	1755
7	1.01052e+006	793	529444	481071	100	90	3.05395	0.798896	40	39.7	0	380	1736	1.02923	0.831661	1755
8	1.19179e+006	842	630815	560976	100	90	3.16841	0.798896	40	39.7	0	380	1736	1.05527	0.855107	1755
9	1.31838e+006	809	702286	616093	100	90	3.07758	0.798896	40	39.7	0	380	1736	1.07338	0.874074	1755
10	1.41652e+006	782	757368	659155	100	90	2.97087	0.798896	40	39.7	0	380	1736	1.10385	0.9106	1755
11	1.4835e+006	761	794895	688601	100	90	2.95638	0.798896	40	39.7	0	380	1736	1.11432	0.924503	1755
12	1.52486e+006	741	818790	706074	100	90	2.91382	0.798896	40	39.7	0	380	1736	1.13417	0.949106	1755
13	1.57477e+006	743	846864	727907	100	90	2.9253	0.798896	40	39.7	0	380	1736	1.16667	1	1755
14	1.60249e+006	736	863287	739203	100	90	2.89981	0.798896	40	39.7	0	380	1736	1.18137	1.02594	1755
15	1.62871e+006	743	879006	749705	100	90	2.94013	0.798896	40	39.7	0	380	1736	1.19899	1.04839	1755
16	1.66968e+006	742	886880	754551	100	90	2.92968	0.798896	40	39.7	0	380	1736	1.22627	1.06231	1755
17	1.69715e+006	744	888887	756195	100	90	2.96215	0.798896	40	39.7	0	380	1736	1.22739	1.06466	1755
18	1.7258e+006	753	902658	767151	100	90	3.04607	0.798896	40	39.7	0	380	1736	1.22665	1.06061	1755
19	1.75397e+006	760	917837	778945	100	90	3.124	0.798896	40	39.7	0	380	1736	1.21849	1.04601	1755
20	1.76648e+006	759	925592	784232	100	90	3.1448	0.798896	40	39.7	0	380	1736	1.22507	1.03106	1755
21	1.72665e+006	768	935233	791417	100	90	3.21224	0.798896	40	39.7	0	380	1736	1.22642	1.02656	1755
22	1.72386e+006	770	934722	789140	100	90	1.27448	0.798896	40	39.7	0	380	1736	1.06575	0.846807	1755
23	1.74705e+006	763	944255	802796	100	90	1.25872	0.798896	40	39.7	0	380	1736	1.06904	0.867037	1755
24	1.77801e+006	754	959155	818852	100	90	1.26251	0.798896	40	39.7	0	380	1736	1.07497	0.895816	1755
25	1.78852e+006	745	965631	822887	100	90	1.32363	0.798896	40	39.7	0	380	1736	1.08374	0.923517	1755
26	1.80839e+006	738	977689	830704	100	90	1.43315	0.798896	40	39.7	0	380	1736	1.09637	0.956209	1755
27	1.83556e+006	1346	992469	843090	100	90	2.49603	0.798896	40	39.7	0	380	1736	1.11565	0.983555	1755
28	1.86345e+006	1232	1.00728e+006	856175	100	90	2.5339	0.798896	40	39.7	0	380	1736	1.13858	1.00268	1755
29	1.88008e+006	1149	1.01705e+006	863033	100	90	2.60101	0.798896	40	39.7	0	380	1736	1.16819	1.02165	1755
30	1.39955e+006	1114	519724	879826	100	90	2.15728	0.798896	40	39.7	0	380	1736	1.51702	1.63797	1755
31	1.44906e+006	991	631084	817292	100	90	1.27753	0.798896	40	39.7	0	380	1736	1.18608	1.00246	1755
32	1.45166e+006	883	672928	777410	100	90	1.00152	0.798896	40	39.7	0	380	1736	1.11393	0.903836	1755
33	1.38549e+006	743	664265	720152	100	90	0.790552	0.798896	40	39.7	0	380	1736	1.08594	0.853632	1755
34	1.01212e+006	657	324219	687671	100	90	0.838792	0.798896	40	39.7	0	380	1736	1.08998	0.852882	1755
35	1.09629e+006	770	431656	664493	100	90	1.13784	0.798896	40	39.7	0	380	1736	1.10437	0.89194	1755
36	1.1484e+006	817	509895	638502	100	90	1.39666	0.798896	40	39.7	0	380	1736	1.11446	0.908568	1755
37	1.12817e+006	983	539155	589014	100	90	1.93975	0.798896	40	39.7	0	380	1736	1.12706	0.908621	1755
38	1.09599e+006	1008	544413	551581	100	90	2.42299	0.798896	40	39.7	0	380	1736	1.14237	0.9099	1755
39	1.0522e+006	797	534690	517507	100	90	2.52719	0.798896	40	39.7	0	380	1736	1.19202	0.945946	1755
40	644842	665	155099	489743	100	90	2.53776	0.798896	40	39.7	406614	380	1736	1.20415	0.94863	1755
41	694805	579	235127	459678	100	90	2.62334	0.798896	40	39.7	406614	380	1736	1.22348	0.966535	1755
42	749106	532	311106	438000	100	90	2.68092	0.798896	40	39.7	406614	380	1736	1.26016	0.987041	1755
43	768175	460	354934	413241	100	90	2.73987	0.798896	40	39.7	406614	380	1736	1.30303	1.00752	1755
44	736853	406	363627	373226	100	90	2.80512	0.798896	40	39.7	406614	380	1736	1.3381	1.02557	1755
45	524024	368	180216	343808	100	90	2.78528	0.798896	40	39.7	406614	380	1736	1.37027	1.09464	1755
46	406150	333	85132.6	320793	100	90	2.77136	0.798896	40	39.7	575019	380	1736	1.41745	1.15827	1755
